moisture,rainfall,humidity,meanTemp,maxTemp,minTemp,alkaline,sandy,chalky,clay,label
12.95192187,0.13853161,43,70,85,54,1,0,0,0,0
12.96233664,0.07401617,32,70,85,55,1,0,0,0,0
12.76941371,0.05403291,39,68,83,54,0,1,0,0,4
13.08323053,0.21334303,40,65,82,48,1,0,0,0,0
12.97096179,0.2505521,34,66,84,49,0,0,0,1,2
13.01375574,0.264995,36,68,86,51,0,1,0,0,2
12.80996176,0.16440192,39,70,86,54,1,0,0,0,0
12.8743958,0.12811633,36,70,84,55,0,1,0,0,2
12.82464289,0.09962944,40,74,86,63,0,1,0,0,2
12.949096,0.07095528,41,68,84,52,1,0,0,0,0
12.99493977,0.12643599,36,68,86,51,0,1,0,0,2
12.8742538,0.21997917,40,72,90,54,0,0,0,1,2
12.89556977,0.19983787,33,74,91,56,1,0,0,0,0
12.94050182,0.22083074,38,73,89,57,0,0,1,0,0
13.05508616,0.24263603,34,75,87,63,0,0,0,1,2
13.15486567,0.25107319,45,74,88,59,0,0,0,1,1
12.91519939,0.25686013,47,76,88,63,0,0,0,1,1
12.95844909,0.27893227,51,76,90,61,1,0,0,0,0
12.82315759,0.30401618,49,76,92,61,1,0,0,0,0
12.74910827,0.25451679,48,77,92,62,0,0,0,1,1
12.81706506,0.16124102,39,77,93,61,1,0,0,0,0
12.83571656,0.09406781,44,77,94,60,0,1,0,0,2
12.89831176,0.08167877,37,80,94,65,0,0,0,1,2
12.81477304,0.04985876,42,78,95,62,0,1,0,0,2
12.81906585,0.07738469,37,79,94,64,0,0,0,1,2
12.67833489,0.11902733,40,78,91,65,0,0,0,1,4
12.96222876,0.1866859,53,74,86,63,1,0,0,0,0
13.00912869,0.14167626,29,70,84,57,0,1,0,0,2
12.92973854,0.169596399999999,36,69,85,53,0,0,0,1,2
12.91373321,0.23562293,27,72,87,57,0,0,0,1,2
12.89154285,0.28589122,25,74,90,59,0,1,0,0,2
12.98361305,0.31304122,30,78,90,66,0,1,0,0,2
13.02822003,0.32560631,34,78,90,65,1,0,0,0,0
12.88795567,0.29473062,33,76,91,62,0,1,0,0,2
12.98940021,0.27390517,37,75,91,59,0,0,0,1,2
12.90043642,0.35624681,36,79,92,66,0,1,0,0,2
12.82380437,0.2800796,65,73,82,64,0,1,0,0,0
12.99048804,0.30094135,85,67,73,61,0,0,0,1,1
12.84038403,0.21167439,78,67,77,57,0,1,0,0,0
13.0252261999999,0.19472972,61,69,81,57,1,0,0,0,0
12.99510965,0.22419357,57,72,86,59,0,0,0,1,1
12.82265563,0.26909019,65,73,82,64,0,0,1,0,0
13.01357175,0.30141486,69,71,82,60,0,0,0,1,1
12.96221009,0.31059212,55,72,83,62,0,1,0,0,2
12.84099726,0.28044987,46,70,83,56,0,1,0,0,2
12.81824447,0.21911052,41,72,86,57,0,0,0,1,1
12.7812615999999,0.18884224,29,74,89,59,1,0,0,0,4
12.91183014,0.20112027,27,80,94,67,0,1,0,0,2
12.91292325,0.155515899999999,38,75,86,64,0,0,0,1,2
12.92890513,0.18013069,34,74,89,59,0,0,0,1,2
12.91922388,0.18195726,38,84,95,72,0,1,0,0,2
13.18339137,0.26450541,35,80,97,64,1,0,0,0,0
12.94527436,0.2487961,36,80,92,67,0,0,0,1,2
12.71248647,0.19513917,29,78,87,68,0,1,0,0,4
13.1618669,0.24353516,34,74,87,62,0,0,1,0,0
12.74864607,0.26390672,32,76,89,63,0,1,0,0,4
12.87387198,0.21078474,32,73,87,59,1,0,0,0,0
12.9400097,0.32283957,33,76,93,60,0,1,0,0,2
13.06852368,0.21989283,26,80,96,64,0,0,0,1,2
12.76118742,0.22901769,20,81,95,67,1,0,0,0,4
12.92928852,0.15807666,19,84,99,68,0,1,0,0,2
